dataset,window_start,window_end,duration,top_n,top_m,n_events_total,n_events_selection,n_events_inference,candidate_edges,candidate_edges_original,logL_pairwise_heldout,logL_HTH_heldout,delta_L_heldout,bicdiff_candidate_count,bicdiff_active_count,n_active_edges,main_edge,main_edge_original,main_alpha,main_n_completions,main_C_e,main_min_member_spikes,main_sparse_flag,data_type,source,record_index,spikes_shape,orientation,condition,monkey
ret-1,0.0,20.0,20.0,7,1,2100,1102,998,"(1, 6)","(4, 5)",1848.8001976066644,1856.5914743275016,7.791276720837231,8.676800165362998,8.676800165362998,1,"(1, 6)","(4, 5)",0.3230304081117608,33,3.5667282587785083,31,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,20.0,40.0,20.0,7,1,1839,913,926,"(1, 3)","(4, 6)",1652.7858255851293,1659.0138707695146,6.228045184385337,5.625216134124495,5.625216134124495,1,"(1, 3)","(4, 6)",0.0202422651321143,81,6.8608942457171285,89,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,40.0,60.0,20.0,7,1,1897,922,975,"(0, 4)","(0, 3)",1805.132988974471,1811.1311942728416,5.998205298370976,5.1139731257441055,5.1139731257441055,1,"(0, 4)","(0, 3)",0.0660220228201363,120,7.134055299914861,89,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,60.0,80.0,20.0,7,1,2053,967,1086,"(1, 6)","(4, 5)",2087.9006672958085,2097.132181055252,9.23151375944326,11.472771018392638,11.472771018392638,1,"(1, 6)","(4, 5)",1.0941440551384614,57,4.36476871656593,37,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,80.0,100.0,20.0,7,1,2236,1132,1104,"(3, 4)","(6, 3)",2145.3639149963155,2154.227113923001,8.863198926685982,10.719702626534923,10.719702626534923,1,"(3, 4)","(6, 3)",0.0465890207939884,195,8.483353411945112,114,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,0.0,20.0,20.0,7,2,2100,1102,998,"(4, 5);(5, 6)","(3, 1);(1, 5)",1845.219092273407,1855.0849805462333,9.865888272826396,5.920269993029864,5.920269993029864,2,"(5, 6)","(1, 5)",0.5161940363989637,27,3.0046868388121664,31,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,20.0,40.0,20.0,7,2,1839,913,926,"(0, 1);(0, 2)","(0, 4);(0, 2)",1653.5976220537466,1659.5134137537375,5.915791699990905,-1.8301650693105491,-1.8301650693105491,2,"(0, 1)","(0, 4)",0.0527219644497021,270,8.573985935250743,197,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,40.0,60.0,20.0,7,2,1897,922,975,"(0, 1);(0, 4)","(0, 4);(0, 3)",1805.1720570939224,1811.1173692071325,5.945312113210093,-1.874250715575508,-1.874250715575508,2,"(0, 4)","(0, 3)",0.0612617233797212,120,7.134055299914861,89,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,60.0,80.0,20.0,7,2,2053,967,1086,"(1, 3);(1, 6)","(4, 6);(4, 5)",2086.430893543511,2095.886388627614,9.45549508410295,4.930477167218138,4.930477167218138,2,"(1, 6)","(4, 5)",1.0607480181225446,57,4.36476871656593,37,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,80.0,100.0,20.0,7,2,2236,1132,1104,"(0, 4);(1, 4)","(0, 3);(4, 3)",2146.236372307368,2154.309305410416,8.072933103047944,2.132475752421808,2.132475752421808,2,"(0, 4)","(0, 3)",0.0460986361644041,145,7.671701824661062,114,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,0.0,20.0,20.0,7,3,2100,1102,998,"(0, 3);(1, 6);(5, 6)","(0, 6);(4, 5);(1, 5)",1843.7683618576348,1855.872960534548,12.104598676913156,3.49193752489192,3.49193752489192,3,"(5, 6)","(1, 5)",1.0277802362195074,27,3.0046868388121664,31,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,20.0,40.0,20.0,7,3,1839,913,926,"(0, 4);(1, 2);(1, 5)","(0, 3);(4, 2);(4, 1)",1653.6180706586115,1659.337655912841,5.719585254229514,-9.053452195479508,-2.2225779608333305,2,"(0, 4)","(0, 3)",0.0652690656878365,194,8.154237438072446,117,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,40.0,60.0,20.0,7,3,1897,922,975,"(0, 4);(2, 3);(2, 6)","(0, 3);(2, 6);(2, 5)",1802.523558768964,1810.1272668387512,7.603708069787217,-5.439896273419109,1.4425411975787394,2,"(0, 4)","(0, 3)",0.0688108393194279,120,7.134055299914861,89,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,60.0,80.0,20.0,7,3,2053,967,1086,"(0, 3);(1, 3);(1, 6)","(0, 6);(4, 6);(4, 5)",2084.388576252281,2095.8085452298646,11.41996897758372,1.869168453685802,1.869168453685802,3,"(1, 6)","(4, 5)",1.1823356713980964,57,4.36476871656593,37,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,80.0,100.0,20.0,7,3,2236,1132,1104,"(0, 4);(1, 3);(1, 4)","(0, 3);(4, 6);(4, 3)",2145.7289462766007,2154.392969246315,8.664022969714097,-3.6920397410829295,-3.6920397410829295,3,"(0, 4)","(0, 3)",0.0467186926776525,145,7.671701824661062,114,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
PVC-3 area17,0.0,20.0,20.0,10,1,2814,1526,1288,"(6, 7)","('t14.spk', 't27.spk')",2124.683764062333,2139.178508380427,14.49474431809358,21.828642729522866,21.828642729522866,1,"(6, 7)","('t14.spk', 't27.spk')",0.1399996336692254,59,4.950556271278871,75,False,continuous spike-time,data\raw\crcns_pvc-3\crcns_pvc3_cat_recordings\crcns_pvc3_cat_recordings\spont_activity\spike_data_area17,,,,,
PVC-3 area17,20.0,40.0,20.0,10,1,3211,1598,1613,"(6, 8)","('t14.spk', 't02.spk')",2955.6970596001406,2973.452344092995,17.75528449285457,28.12471790758393,28.12471790758393,1,"(6, 8)","('t14.spk', 't02.spk')",0.9216084277393238,93,5.384565567594214,126,False,continuous spike-time,data\raw\crcns_pvc-3\crcns_pvc3_cat_recordings\crcns_pvc3_cat_recordings\spont_activity\spike_data_area17,,,,,
PVC-3 area17,40.0,60.0,20.0,10,1,3007,1486,1521,"(4, 6)","('t05.spk', 't14.spk')",2720.041376353148,2733.6052788816933,13.563902528545896,19.800681764832497,19.800681764832497,1,"(4, 6)","('t05.spk', 't14.spk')",0.2212079546117018,112,6.289366748456485,138,False,continuous spike-time,data\raw\crcns_pvc-3\crcns_pvc3_cat_recordings\crcns_pvc3_cat_recordings\spont_activity\spike_data_area17,,,,,
PVC-3 area17,60.0,80.0,20.0,10,1,2830,1385,1445,"(4, 8)","('t05.spk', 't02.spk')",2513.608457405829,2526.9297192865542,13.321261880724704,19.36665916090288,19.36665916090288,1,"(4, 8)","('t05.spk', 't02.spk')",0.2961518290213978,111,5.763364762073723,122,False,continuous spike-time,data\raw\crcns_pvc-3\crcns_pvc3_cat_recordings\crcns_pvc3_cat_recordings\spont_activity\spike_data_area17,,,,,
PVC-3 area17,80.0,100.0,20.0,10,1,2807,1419,1388,"(6, 8)","('t14.spk', 't02.spk')",2435.886035009006,2448.420841265992,12.53480625698603,17.83399337290531,25.06961251397206,0,"(6, 8)","('t14.spk', 't02.spk')",0.0092073866953113,20,4.051609945890488,51,False,continuous spike-time,data\raw\crcns_pvc-3\crcns_pvc3_cat_recordings\crcns_pvc3_cat_recordings\spont_activity\spike_data_area17,,,,,
PVC-3 area17,0.0,20.0,20.0,10,2,2814,1526,1288,"(0, 9);(6, 7)","('t03.spk', 't17.spk');('t14.spk', 't27.spk')",2125.47572349992,2139.611653334049,14.135929834129456,13.950167854930314,13.950167854930314,2,"(6, 7)","('t14.spk', 't27.spk')",0.1457003667944538,59,4.950556271278871,75,False,continuous spike-time,data\raw\crcns_pvc-3\crcns_pvc3_cat_recordings\crcns_pvc3_cat_recordings\spont_activity\spike_data_area17,,,,,
PVC-3 area17,20.0,40.0,20.0,10,2,3211,1598,1613,"(0, 8);(6, 8)","('t03.spk', 't02.spk');('t14.spk', 't02.spk')",2958.1645615344105,2976.493382929725,18.328821395314662,21.885940634378905,21.885940634378905,2,"(6, 8)","('t14.spk', 't02.spk')",0.9644052731189016,93,5.384565567594214,126,False,continuous spike-time,data\raw\crcns_pvc-3\crcns_pvc3_cat_recordings\crcns_pvc3_cat_recordings\spont_activity\spike_data_area17,,,,,
PVC-3 area17,40.0,60.0,20.0,10,2,3007,1486,1521,"(1, 3);(4, 6)","('t20.spk', 't16.spk');('t05.spk', 't14.spk')",2722.573247155653,2734.516978476917,11.943731321264297,9.233216058010004,9.233216058010004,2,"(4, 6)","('t05.spk', 't14.spk')",0.2009615731442052,112,6.289366748456485,138,False,continuous spike-time,data\raw\crcns_pvc-3\crcns_pvc3_cat_recordings\crcns_pvc3_cat_recordings\spont_activity\spike_data_area17,,,,,
PVC-3 area17,60.0,80.0,20.0,10,2,2830,1385,1445,"(0, 2);(4, 7)","('t03.spk', 't23.spk');('t05.spk', 't27.spk')",2515.1355178727044,2527.3549322458766,12.219414373172183,9.887099545251305,9.887099545251305,2,"(4, 7)","('t05.spk', 't27.spk')",0.0567495207990753,98,6.988542440715918,93,False,continuous spike-time,data\raw\crcns_pvc-3\crcns_pvc3_cat_recordings\crcns_pvc3_cat_recordings\spont_activity\spike_data_area17,,,,,
PVC-3 area17,80.0,100.0,20.0,10,2,2807,1419,1388,"(0, 8);(6, 8)","('t03.spk', 't02.spk');('t14.spk', 't02.spk')",2437.711782957984,2449.5232520044124,11.81146904642901,9.15169981072452,9.15169981072452,2,"(0, 8)","('t03.spk', 't02.spk')",0.0949805331822058,120,6.635195491493313,65,False,continuous spike-time,data\raw\crcns_pvc-3\crcns_pvc3_cat_recordings\crcns_pvc3_cat_recordings\spont_activity\spike_data_area17,,,,,
PVC-3 area17,0.0,20.0,20.0,10,3,2814,1526,1288,"(1, 2);(6, 7);(7, 9)","('t20.spk', 't23.spk');('t14.spk', 't27.spk');('t27.spk', 't17.spk')",2129.048692536423,2140.7150144251736,11.666321888750645,1.8501060575083912,1.8501060575083912,3,"(6, 7)","('t14.spk', 't27.spk')",0.1311916317282772,59,4.950556271278871,75,False,continuous spike-time,data\raw\crcns_pvc-3\crcns_pvc3_cat_recordings\crcns_pvc3_cat_recordings\spont_activity\spike_data_area17,,,,,
PVC-3 area17,20.0,40.0,20.0,10,3,3211,1598,1613,"(1, 3);(5, 6);(6, 8)","('t20.spk', 't16.spk');('t01.spk', 't14.spk');('t14.spk', 't02.spk')",2956.500736181504,2975.821096425801,19.320360244297262,16.4831672542189,16.4831672542189,3,"(6, 8)","('t14.spk', 't02.spk')",0.9768642583027722,93,5.384565567594214,126,False,continuous spike-time,data\raw\crcns_pvc-3\crcns_pvc3_cat_recordings\crcns_pvc3_cat_recordings\spont_activity\spike_data_area17,,,,,
PVC-3 area17,40.0,60.0,20.0,10,3,3007,1486,1521,"(0, 6);(1, 2);(4, 6)","('t03.spk', 't14.spk');('t20.spk', 't23.spk');('t05.spk', 't14.spk')",2717.492402274017,2732.099169992999,14.606767718982155,7.232165561186434,7.232165561186434,3,"(4, 6)","('t05.spk', 't14.spk')",0.2307563246857098,112,6.289366748456485,138,False,continuous spike-time,data\raw\crcns_pvc-3\crcns_pvc3_cat_recordings\crcns_pvc3_cat_recordings\spont_activity\spike_data_area17,,,,,
PVC-3 area17,60.0,80.0,20.0,10,3,2830,1385,1445,"(1, 3);(4, 7);(4, 8)","('t20.spk', 't16.spk');('t05.spk', 't27.spk');('t05.spk', 't02.spk')",2511.7177363715846,2527.0240431501225,15.306306778537872,8.78501975543615,8.78501975543615,3,"(4, 8)","('t05.spk', 't02.spk')",0.2381169417723278,111,5.763364762073723,122,False,continuous spike-time,data\raw\crcns_pvc-3\crcns_pvc3_cat_recordings\crcns_pvc3_cat_recordings\spont_activity\spike_data_area17,,,,,
PVC-3 area17,80.0,100.0,20.0,10,3,2807,1419,1388,"(0, 4);(0, 8);(6, 8)","('t03.spk', 't05.spk');('t03.spk', 't02.spk');('t14.spk', 't02.spk')",2441.2217384633486,2451.1156833583227,9.893944894974084,-1.918967633252084,-1.918967633252084,3,"(0, 8)","('t03.spk', 't02.spk')",0.1082098187621381,120,6.635195491493313,65,False,continuous spike-time,data\raw\crcns_pvc-3\crcns_pvc3_cat_recordings\crcns_pvc3_cat_recordings\spont_activity\spike_data_area17,,,,,
PVC-11 monkey2,0.0,40.0,40.0,10,1,1920,829,1091,"(1, 7)","(9, 60)",1061.961363809305,1071.468853003453,9.507489194147638,12.020128402462204,12.020128402462204,1,"(1, 7)","(9, 60)",0.0196062897970683,77,8.596839718005215,67,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,,,,spontaneous,2.0
PVC-11 monkey2,40.0,80.0,40.0,10,1,1813,1071,742,"(1, 3)","(9, 74)",502.5876921855097,514.770204971485,12.182512785975293,17.755676328783203,17.755676328783203,1,"(1, 3)","(9, 74)",2.645984144601857,76,6.248532911953579,78,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,,,,spontaneous,2.0
PVC-11 monkey2,80.0,120.0,40.0,10,1,1762,978,784,"(2, 7)","(62, 60)",499.45011805512456,506.5721315703323,7.122013515207755,7.579618010065102,7.579618010065102,1,"(2, 7)","(62, 60)",0.7054800466349583,54,6.547582433214778,57,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,,,,spontaneous,2.0
PVC-11 monkey2,120.0,160.0,40.0,10,1,1842,975,867,"(2, 7)","(62, 60)",639.4115682490749,655.9573405654057,16.54577231633084,26.32650565588114,26.32650565588114,1,"(2, 7)","(62, 60)",2.8109236125815027,81,6.74942266642073,63,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,,,,spontaneous,2.0
PVC-11 monkey2,160.0,200.0,40.0,10,1,1977,1007,970,"(4, 5)","(8, 14)",750.6554408648275,758.4500031789877,7.794562314160203,8.711828556822976,8.711828556822976,1,"(4, 5)","(8, 14)",0.447093647685045,52,5.873688753448471,72,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,,,,spontaneous,2.0
PVC-11 monkey2,0.0,40.0,40.0,10,2,1920,829,1091,"(0, 3);(1, 7)","(28, 74);(9, 60)",1062.67746633256,1073.1368757943385,10.45940946177825,6.929118951890359,6.929118951890359,2,"(0, 3)","(28, 74)",0.2489849526441264,134,10.279158648086488,127,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,,,,spontaneous,2.0
PVC-11 monkey2,40.0,80.0,40.0,10,2,1813,1071,742,"(0, 3);(1, 3)","(28, 74);(9, 74)",499.6088229082837,515.4570697334227,15.848246825138972,18.477795163943185,18.477795163943185,2,"(1, 3)","(9, 74)",2.729023959829265,76,6.248532911953579,78,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,,,,spontaneous,2.0
PVC-11 monkey2,80.0,120.0,40.0,10,2,1762,978,784,"(2, 6);(2, 7)","(62, 67);(62, 60)",500.5297131189177,507.2178864315939,6.688173312676213,0.0475285846516104,0.0475285846516104,2,"(2, 7)","(62, 60)",0.7645881258329719,54,6.547582433214778,57,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,,,,spontaneous,2.0
PVC-11 monkey2,120.0,160.0,40.0,10,2,1842,975,867,"(2, 7);(3, 9)","(62, 60);(74, 24)",642.6597605164475,659.3833251315367,16.72356461508923,19.91705127661738,19.91705127661738,2,"(2, 7)","(62, 60)",2.662080305024824,81,6.74942266642073,63,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,,,,spontaneous,2.0
PVC-11 monkey2,160.0,200.0,40.0,10,2,1977,1007,970,"(0, 9);(4, 5)","(28, 24);(8, 14)",750.6080671189785,761.851560773418,11.243493654439476,8.732395165884094,8.732395165884094,2,"(0, 9)","(28, 24)",1.3442245094057557,60,6.146708146950209,66,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,,,,spontaneous,2.0
PVC-11 monkey2,0.0,40.0,40.0,10,3,1920,829,1091,"(0, 3);(1, 7);(2, 7)","(28, 74);(9, 60);(62, 60)",1060.791767844784,1072.6522094545387,11.860441609754844,2.736333262010476,2.736333262010476,3,"(0, 3)","(28, 74)",0.3212993611780135,134,10.279158648086488,127,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,,,,spontaneous,2.0
PVC-11 monkey2,40.0,80.0,40.0,10,3,1813,1071,742,"(0, 3);(1, 3);(3, 9)","(28, 74);(9, 74);(74, 24)",502.3484540544642,526.1932967614074,23.844842706943155,27.861637684384167,27.861637684384167,3,"(3, 9)","(74, 24)",3.800166530620833,35,2.7675540655733646,48,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,,,,spontaneous,2.0
PVC-11 monkey2,80.0,120.0,40.0,10,3,1762,978,784,"(1, 2);(2, 7);(3, 4)","(9, 62);(62, 60);(74, 8)",499.1047979927491,507.0917610105888,7.986963017839685,-4.019301025371853,-4.019301025371853,3,"(2, 7)","(62, 60)",0.7425347682047717,54,6.547582433214778,57,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,,,,spontaneous,2.0
PVC-11 monkey2,120.0,160.0,40.0,10,3,1842,975,867,"(1, 2);(2, 7);(3, 9)","(9, 62);(62, 60);(74, 24)",642.4062595988113,670.8801667270168,28.473907128205497,36.65269732606937,36.65269732606937,3,"(1, 2)","(9, 62)",2.801338281009164,139,8.73088744045586,117,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,,,,spontaneous,2.0
PVC-11 monkey2,160.0,200.0,40.0,10,3,1977,1007,970,"(0, 9);(2, 3);(4, 5)","(28, 24);(62, 74);(8, 14)",750.4667231259534,763.7028501093017,13.2361269833483,5.840365752204313,5.840365752204313,3,"(0, 9)","(28, 24)",1.427034784424864,60,6.146708146950209,66,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,,,,spontaneous,2.0
